Num,Valle,Name,Data,Difficolta,Markdown,Images
1,Val Grande,Cicogna-Alpe Prà-Pogallo-Cicogna,agosto 2003,E,01_Cicogna-Alpe_Pre-Pogallo-Cicogna.md,images_01
2,Val Grande,Archia-Monte Zeda-Sentiero Cadorna,settembre 2003,E,02_Archia-Monte_Zeda-Sentiero_Cadorna.md,images_02
3,Valle Vigezzo,Laghetti del Moino-rifugio Greppi-vista Bagni di Craveggia,agosto 2003,E,03_Laghetti_del_Moino-rifugio_Greppi-vista_Bagni_di_Craveggia.md,images_03
4,Val Loana,Cimone di Cortechiuso-Scaredi,ottobre 2003,E,04_Cimone_di_Cortechiuso-Scaredi.md,images_04
5,Val Loana,Rifugio Al Cedo-S.M.Maggiore,luglio 2003,E,05_Rifugio_Al_Cedo-S.M.Maggiore.md,images_05
6,Valle Strona,Cima Capezzone,agosto 2003,E,06_Cima_Capezzone.md,images_06
7,Valle Strona,Monte Massone,Agosto 2003,E,07_Monte_Massone.md,images_07
8,Val Grande,Cima Sasso,ottobre 2004,E,08_Cima_Sasso.md,images_08
9,Valle Ossola,Mont'Orfano-Sentiero Cadorna,Marzo 2004,T,09_Mont_Orfano-Sentiero_Cadorna.md,images_09
10,Valle Cannobina,Laghetto Solivo-Cannobio,25 aprile 2004,T,10_Laghetto_Solivo-Cannobio.md,images_10
11,Val Grande,Monte Faiè,23 maggio 2004,T/E,11_Monte_Faie.md,images_11
12,Val Grande,Cicogna-PonteVelina-Bignugno,13 giugno 2004,E,12_Cicogna-PonteVelina-Bignugno.md,images_12
13,Val di Bognanco,Passo Monscera-lago Monscera e Ragozza,17 luglio 2004,E,13_Passo_Monscera-lago_Monscera_e_Ragozza.md,images_13
14,Val Grande,Corni di Nibbio-Cima Sasarut-Monte Faiè,1 agosto 2004,EE,14_Corni_di_Nibbio-Cima_Sasarut-Monte_Fai.md,images_14
15,Val Grande,Motta d'Aurelio,27 marzo 2005,T,15_Motta_d_Aurelio.md,images_15
